node1_path,node1_summary,node2_path,node2_summary,similarity
\autogluon-master\common\src\autogluon\common\loaders\load_pd.py,"Functions `load`, `_load_multipart_child`, `_load_multipart`, and `_load_multipart_s3`: Functions for loading and processing data from various sources with options for customization and multiprocessing capabilities.",\autogluon-master\common\src\autogluon\common\loaders\load_pkl.py,"Functions `load` and `load_with_fn`: Functions for loading data from different sources with optional compression and verbose logging, and loading data from a specified path in various formats.",0.8578
\autogluon-master\common\src\autogluon\common\loaders\_utils.py,"A collection of functions for file manipulation, error handling, downloading, and zip extraction with specific implementations for different operating systems and functionalities.",\autogluon-master\multimodal\tests\unittests\utils\utils.py,"A collection of functions for file manipulation, path handling, directory retrieval, and zip file extraction with specific functionalities.",0.9089
\autogluon-master\common\tests\conftest.py,"Functions `pytest_addoption`, `pytest_configure`, and `pytest_collection_modifyitems` are implemented to handle slow tests in pytest by adding options, configuring markers, and skipping tests based on command line input.",\autogluon-master\core\tests\conftest.py,"Functions `pytest_addoption`, `pytest_configure`, and `pytest_collection_modifyitems`: Implement custom configurations for pytest to handle slow, skipped, and platform-specific tests efficiently.",0.9031
\autogluon-master\common\tests\conftest.py,"Functions `pytest_addoption`, `pytest_configure`, and `pytest_collection_modifyitems` are implemented to handle slow tests in pytest by adding options, configuring markers, and skipping tests based on command line input.",\autogluon-master\eda\tests\conftest.py,"Functions `pytest_addoption`, `pytest_configure`, and `pytest_collection_modifyitems` enhance pytest functionality by adding command-line options for slow tests, configuring markers, and modifying test item collections.",0.9140
\autogluon-master\common\tests\conftest.py,"Functions `pytest_addoption`, `pytest_configure`, and `pytest_collection_modifyitems` are implemented to handle slow tests in pytest by adding options, configuring markers, and skipping tests based on command line input.",\autogluon-master\features\tests\conftest.py,"Functions pytest_addoption, pytest_configure, and pytest_collection_modifyitems: Implementations for adding and managing slow test options in pytest.",0.9274
\autogluon-master\common\tests\conftest.py,"Functions `pytest_addoption`, `pytest_configure`, and `pytest_collection_modifyitems` are implemented to handle slow tests in pytest by adding options, configuring markers, and skipping tests based on command line input.",\autogluon-master\multimodal\tests\conftest.py,"Functions `pytest_addoption`, `pytest_configure`, and `pytest_collection_modifyitems` in pytest provide options for running specific types of tests, configure markers for labeling tests, and modify test collection items based on command line options.",0.8713
\autogluon-master\common\tests\test_check_style.py,Function `test_check_style`: A function that verifies PEP8 style adherence and issues a warning for any violations detected.,\autogluon-master\core\tests\test_check_style.py,Function `test_check_style`: A function that verifies PEP8 style adherence and alerts about excessive violations.,0.9477
\autogluon-master\common\tests\test_check_style.py,Function `test_check_style`: A function that verifies PEP8 style adherence and issues a warning for any violations detected.,\autogluon-master\eda\tests\test_check_style.py,Function `test_check_style`: A function that evaluates the PEP8 style of the code and alerts about excessive violations.,0.9439
\autogluon-master\common\tests\test_check_style.py,Function `test_check_style`: A function that verifies PEP8 style adherence and issues a warning for any violations detected.,\autogluon-master\features\tests\test_check_style.py,Function `test_check_style`: A function that detects PEP8 style violations in the code and raises a warning if a significant number are present.,0.9542
\autogluon-master\common\tests\test_check_style.py,Function `test_check_style`: A function that verifies PEP8 style adherence and issues a warning for any violations detected.,\autogluon-master\multimodal\tests\test_check_style.py,Function `test_check_style`: A function that checks the PEP8 style of the code and raises warnings for excessive violations.,0.9437
\autogluon-master\common\tests\test_check_style.py,Function `test_check_style`: A function that verifies PEP8 style adherence and issues a warning for any violations detected.,\autogluon-master\tabular\tests\test_check_style.py,Function `test_check_style`: A function that verifies PEP8 style adherence and issues a warning for any violations detected.,1.0000
\autogluon-master\common\tests\unittests\test_import_version.py,Function `test_import_version`: Validates that the autogluon common version is not an empty string.,\autogluon-master\core\tests\unittests\test_import_version.py,Function `test_import_version`: Tests the version of the autogluon.core module for being a non-empty string.,0.9107
