node1_path,node1_summary,node2_path,node2_summary,similarity
\autogluon-master\autogluon\setup.py,"Script for setting up a Python package that dynamically loads versioning and dependency information from a core utilities module to avoid code duplication, with special handling for installation requirements based on the mode of operation.",\autogluon-master\common\setup.py,Script for setting up a Python package that dynamically loads version information and dependency requirements from a utility module to avoid code duplication.,0.8755
\autogluon-master\autogluon\setup.py,"Script for setting up a Python package that dynamically loads versioning and dependency information from a core utilities module to avoid code duplication, with special handling for installation requirements based on the mode of operation.",\autogluon-master\eda\setup.py,"Setup script for a Python package that dynamically imports version and dependency information to avoid code duplication and defines installation requirements, including testing dependencies.",0.8043
\autogluon-master\autogluon\setup.py,"Script for setting up a Python package that dynamically loads versioning and dependency information from a core utilities module to avoid code duplication, with special handling for installation requirements based on the mode of operation.",\autogluon-master\tabular\setup.py,"Setup script for a Python package that manages dependencies and versioning using a utility module, while ensuring compatibility across various platforms and optional packages.",0.8149
\autogluon-master\common\setup.py,Script for setting up a Python package that dynamically loads version information and dependency requirements from a utility module to avoid code duplication.,\autogluon-master\core\setup.py,"Setup script for a Python package that dynamically imports utility functions to manage dependencies and versioning, while providing options for additional features and testing requirements.",0.8523
\autogluon-master\common\setup.py,Script for setting up a Python package that dynamically loads version information and dependency requirements from a utility module to avoid code duplication.,\autogluon-master\eda\setup.py,"Setup script for a Python package that dynamically imports version and dependency information to avoid code duplication and defines installation requirements, including testing dependencies.",0.9153
\autogluon-master\common\setup.py,Script for setting up a Python package that dynamically loads version information and dependency requirements from a utility module to avoid code duplication.,\autogluon-master\tabular\setup.py,"Setup script for a Python package that manages dependencies and versioning using a utility module, while ensuring compatibility across various platforms and optional packages.",0.8607
\autogluon-master\common\src\autogluon\common\loaders\load_json.py,"Function `load`: A utility function designed to load a JSON object from a given file path or S3 URL, with an option for verbose logging.",\autogluon-master\common\src\autogluon\common\loaders\load_str.py,"Function `load`: A utility that fetches string data from a given file, accommodating both local and S3 file paths.",0.8182
\autogluon-master\common\src\autogluon\common\loaders\load_s3.py,"Functions for interacting with S3: `list_bucket_s3` logs object keys, `download` fetches files to a local path, and `list_bucket_prefix_suffix_contains_s3` filters file paths based on specified criteria.",\autogluon-master\common\src\autogluon\common\utils\s3_utils.py,"Collection of utility functions for interacting with Amazon S3, including uploading, downloading, and deleting files and folders, as well as parsing S3 URIs and managing bucket prefixes.",0.8368
\autogluon-master\common\src\autogluon\common\loaders\_utils.py,"A collection of utility functions for file operations, including atomic file renaming, error handling, SHA-1 hash computation, robust file downloading, path expansion, and zip file extraction with signature verification.",\autogluon-master\multimodal\src\autogluon\multimodal\utils\download.py,"A collection of utility functions for handling URLs, downloading files, performing atomic file replacements, managing errors, computing SHA-1 checksums, and updating objects with byte counts.",0.8507
\autogluon-master\common\src\autogluon\common\savers\save_json.py,"Functions `save` and `sanitize_object_to_primitives`: `save` stores an object to a designated path, supporting both S3 bucket and local file options, while `sanitize_object_to_primitives` recursively transforms complex objects into JSON-serializable formats, ensuring compatibility with dictionaries and non-serializable types.",\autogluon-master\common\src\autogluon\common\savers\save_pkl.py,"Functions for saving objects: Includes `save` for saving with optional compression, `pickle_fn` for serializing with pickle, `save_with_fn` for saving with S3 support and logging, and `save_s3` for saving directly to an S3 bucket with optional logging.",0.8338
\autogluon-master\common\src\autogluon\common\space.py,"Classes and functions defining various search spaces for hyperparameter optimization, including basic, discrete, categorical, real, integer, and boolean types, along with methods for managing default values, representations, and conversions for compatibility with scikit-learn.",\autogluon-master\tabular\src\autogluon\tabular\models\catboost\hyperparameters\searchspaces.py,"Functions for configuring hyperparameter search spaces tailored to various problem types, including binary, multiclass, and regression models.",0.8315
\autogluon-master\common\src\autogluon\common\space.py,"Classes and functions defining various search spaces for hyperparameter optimization, including basic, discrete, categorical, real, integer, and boolean types, along with methods for managing default values, representations, and conversions for compatibility with scikit-learn.",\autogluon-master\tabular\src\autogluon\tabular\models\tabular_nn\hyperparameters\searchspaces.py,"Functions for generating default and specific search spaces of hyperparameters tailored to various machine learning problem types and frameworks, including multi-class, binary, regression, and quantile regression scenarios.",0.8173
\autogluon-master\common\src\autogluon\common\utils\context.py,Function `set_torch_num_threads`: A context manager that adjusts the number of threads for PyTorch during its execution and ensures the original setting is restored afterward.,\autogluon-master\tabular\src\autogluon\tabular\models\_utils\torch_utils.py,"Class `TorchThreadManager`: A context manager that allows the temporary adjustment of the number of threads used by PyTorch, ensuring the original setting is restored upon exiting the context.",0.9023
\autogluon-master\common\tests\conftest.py,"Functions for configuring pytest: `pytest_addoption` adds a command-line option for slow tests, `pytest_configure` sets up a marker for slow tests and adjusts mypy plugin arguments, and `pytest_collection_modifyitems` skips slow tests unless the `--runslow` option is used.",\autogluon-master\core\tests\conftest.py,"Functions for configuring pytest: `pytest_addoption` adds command-line options for slow and skipped tests, `pytest_configure` sets up custom markers and modifies mypy plugin arguments, and `pytest_collection_modifyitems` conditionally skips tests based on those options.",0.9326
\autogluon-master\common\tests\conftest.py,"Functions for configuring pytest: `pytest_addoption` adds a command-line option for slow tests, `pytest_configure` sets up a marker for slow tests and adjusts mypy plugin arguments, and `pytest_collection_modifyitems` skips slow tests unless the `--runslow` option is used.",\autogluon-master\eda\tests\conftest.py,"Functions for configuring pytest to manage slow tests by adding command-line options, markers, and modifying test collection behavior.",0.8592
