node1_path,node1_summary,node2_path,node2_summary,similarity
\doccano-master\backend\api\migrations\0001_initial.py,"Class Migration: A Django migration that sets up the models and relationships for a document annotation system, including Document, DocumentAnnotation, Label, Project, Role, and various annotation types.",\doccano-master\backend\api\migrations\0009_annotations_relations_20210421_1445.py,"Class Migration: A Django migration that establishes two models, RelationTypes and AnnotationRelations, to effectively manage annotation relationships within a project.",0.9064
\doccano-master\backend\api\migrations\0001_initial.py,"Class Migration: A Django migration that sets up the models and relationships for a document annotation system, including Document, DocumentAnnotation, Label, Project, Role, and various annotation types.",\doccano-master\backend\api\migrations\0012_auto_20210514_0654.py,"Class Migration: A Django migration that establishes new models for Category, Example, ImageClassificationProject, Span, and TextLabel, while also altering existing fields and relationships and eliminating outdated models associated with document annotations.",0.9329
\doccano-master\backend\api\migrations\0001_initial.py,"Class Migration: A Django migration that sets up the models and relationships for a document annotation system, including Document, DocumentAnnotation, Label, Project, Role, and various annotation types.",\doccano-master\backend\labels\migrations\0001_initial.py,"Class Migration: A Django migration that defines and creates several models such as Span, Category, AnnotationRelations, and TextLabel, including their fields, constraints, and dependencies on existing models.",0.9253
\doccano-master\backend\api\migrations\0003_merge_20200612_0205.py,Class Migration: A Django migration class that specifies dependencies on earlier migrations without executing any operations.,\doccano-master\backend\api\migrations\0004_merge_20210114_1117.py,Class Migration: A Django migration class that establishes database schema change dependencies without performing any specific operations.,0.9112
\doccano-master\backend\api\migrations\0003_merge_20200612_0205.py,Class Migration: A Django migration class that specifies dependencies on earlier migrations without executing any operations.,\doccano-master\backend\api\migrations\0006_merge_20210221_1258.py,Class Migration: A Django migration class that outlines dependencies for database schema modifications without performing any operations.,0.9028
\doccano-master\backend\api\migrations\0003_merge_20200612_0205.py,Class Migration: A Django migration class that specifies dependencies on earlier migrations without executing any operations.,\doccano-master\backend\api\migrations\0011_merge_0009_tag_0010_auto_20210413_0249.py,Class Migration: A Django migration class that establishes dependencies on earlier migrations while omitting any operational changes.,0.9727
\doccano-master\backend\api\migrations\0003_merge_20200612_0205.py,Class Migration: A Django migration class that specifies dependencies on earlier migrations without executing any operations.,\doccano-master\backend\api\migrations\0013_merge_20210528_1016.py,Class Migration: A Django migration class that specifies dependencies on earlier migrations without executing any operations.,1.0000
\doccano-master\backend\api\migrations\0004_merge_20210114_1117.py,Class Migration: A Django migration class that establishes database schema change dependencies without performing any specific operations.,\doccano-master\backend\api\migrations\0006_merge_20210221_1258.py,Class Migration: A Django migration class that outlines dependencies for database schema modifications without performing any operations.,0.9718
\doccano-master\backend\api\migrations\0004_merge_20210114_1117.py,Class Migration: A Django migration class that establishes database schema change dependencies without performing any specific operations.,\doccano-master\backend\api\migrations\0011_merge_0009_tag_0010_auto_20210413_0249.py,Class Migration: A Django migration class that establishes dependencies on earlier migrations while omitting any operational changes.,0.9008
\doccano-master\backend\api\migrations\0004_merge_20210114_1117.py,Class Migration: A Django migration class that establishes database schema change dependencies without performing any specific operations.,\doccano-master\backend\api\migrations\0013_merge_20210528_1016.py,Class Migration: A Django migration class that specifies dependencies on earlier migrations without executing any operations.,0.9112
\doccano-master\backend\api\migrations\0006_merge_20210221_1258.py,Class Migration: A Django migration class that outlines dependencies for database schema modifications without performing any operations.,\doccano-master\backend\api\migrations\0013_merge_20210528_1016.py,Class Migration: A Django migration class that specifies dependencies on earlier migrations without executing any operations.,0.9028
\doccano-master\backend\api\migrations\0006_merge_20210221_1258.py,Class Migration: A Django migration class that outlines dependencies for database schema modifications without performing any operations.,\doccano-master\backend\api\migrations\0032_auto_20220127_0654.py,Class Migration: A Django migration that updates the database schema by removing fields and changing unique constraints for certain models within the 'api' app.,0.9034
\doccano-master\backend\api\migrations\0007_auto_20210301_0302.py,Class Migration: A Django migration that modifies unique constraints on the RoleMapping model to enforce unique user-project combinations.,\doccano-master\backend\roles\migrations\0001_initial.py,"Class Migration: A Django migration that defines the Role and RoleMapping models for managing user roles in projects, including their relationships and constraints.",0.9081
\doccano-master\backend\api\migrations\0009_annotations_relations_20210421_1445.py,"Class Migration: A Django migration that establishes two models, RelationTypes and AnnotationRelations, to effectively manage annotation relationships within a project.",\doccano-master\backend\api\migrations\0014_auto_20210603_0438.py,Class Migration: A Django migration that modifies fields and establishes unique constraints for the `annotationrelations` and `relationtypes` models in the application.,0.9241
\doccano-master\backend\api\migrations\0011_merge_0009_tag_0010_auto_20210413_0249.py,Class Migration: A Django migration class that establishes dependencies on earlier migrations while omitting any operational changes.,\doccano-master\backend\api\migrations\0013_merge_20210528_1016.py,Class Migration: A Django migration class that specifies dependencies on earlier migrations without executing any operations.,0.9727
\doccano-master\backend\api\migrations\0012_auto_20210514_0654.py,"Class Migration: A Django migration that establishes new models for Category, Example, ImageClassificationProject, Span, and TextLabel, while also altering existing fields and relationships and eliminating outdated models associated with document annotations.",\doccano-master\backend\api\migrations\0022_auto_20211221_1430.py,"Class Migration: A Django migration that modifies the Category and Span models by adding and altering fields, while updating their foreign key relationships.",0.9098
\doccano-master\backend\api\migrations\0012_auto_20210514_0654.py,"Class Migration: A Django migration that establishes new models for Category, Example, ImageClassificationProject, Span, and TextLabel, while also altering existing fields and relationships and eliminating outdated models associated with document annotations.",\doccano-master\backend\api\migrations\0024_auto_20211221_1444.py,Class Migration: A Django migration that updates the database schema by removing fields from the 'category' and 'span' models and modifying the 'label' fields to create foreign key relationships.,0.9248
\doccano-master\backend\api\migrations\0012_auto_20210514_0654.py,"Class Migration: A Django migration that establishes new models for Category, Example, ImageClassificationProject, Span, and TextLabel, while also altering existing fields and relationships and eliminating outdated models associated with document annotations.",\doccano-master\backend\api\migrations\0031_auto_20220127_0032.py,"Class Migration: A Django migration that modifies the database schema by altering and removing fields and models associated with categories, spans, and text labels, along with changing their respective table names.",0.9150
\doccano-master\backend\api\migrations\0012_auto_20210514_0654.py,"Class Migration: A Django migration that establishes new models for Category, Example, ImageClassificationProject, Span, and TextLabel, while also altering existing fields and relationships and eliminating outdated models associated with document annotations.",\doccano-master\backend\data_export\migrations\0001_initial.py,"Class Migration: A Django migration that establishes proxy models for several label-related entities, such as ExportedCategory, ExportedExample, ExportedRelation, ExportedSpan, and ExportedText, while maintaining the existing fields and constraints.",0.9046
\doccano-master\backend\api\migrations\0012_auto_20210514_0654.py,"Class Migration: A Django migration that establishes new models for Category, Example, ImageClassificationProject, Span, and TextLabel, while also altering existing fields and relationships and eliminating outdated models associated with document annotations.",\doccano-master\backend\labels\migrations\0001_initial.py,"Class Migration: A Django migration that defines and creates several models such as Span, Category, AnnotationRelations, and TextLabel, including their fields, constraints, and dependencies on existing models.",0.9565
\doccano-master\backend\api\migrations\0014_auto_20210603_0438.py,Class Migration: A Django migration that modifies fields and establishes unique constraints for the `annotationrelations` and `relationtypes` models in the application.,\doccano-master\backend\labels\migrations\0002_rename_annotationrelations_relation.py,"Class Migration: A Django migration class that renames the model ""AnnotationRelations"" to ""Relation"" while specifying its dependencies.",0.9023
\doccano-master\backend\api\migrations\0014_auto_20210603_0438.py,Class Migration: A Django migration that modifies fields and establishes unique constraints for the `annotationrelations` and `relationtypes` models in the application.,\doccano-master\backend\label_types\migrations\0005_relationtype_and_more.py,Class Migration: A Django migration that establishes the `RelationType` model with multiple fields and enforces uniqueness constraints within a project.,0.9122
\doccano-master\backend\api\migrations\0020_auto_20211221_1415.py,"Class Migration: A Django migration that introduces the CategoryType and SpanType models, defining their fields, constraints, and interdependencies with existing API models.",\doccano-master\backend\api\migrations\0022_auto_20211221_1430.py,"Class Migration: A Django migration that modifies the Category and Span models by adding and altering fields, while updating their foreign key relationships.",0.9187
\doccano-master\backend\api\migrations\0022_auto_20211221_1430.py,"Class Migration: A Django migration that modifies the Category and Span models by adding and altering fields, while updating their foreign key relationships.",\doccano-master\backend\api\migrations\0024_auto_20211221_1444.py,Class Migration: A Django migration that updates the database schema by removing fields from the 'category' and 'span' models and modifying the 'label' fields to create foreign key relationships.,0.9620
\doccano-master\backend\api\migrations\0022_auto_20211221_1430.py,"Class Migration: A Django migration that modifies the Category and Span models by adding and altering fields, while updating their foreign key relationships.",\doccano-master\backend\labels\migrations\0001_initial.py,"Class Migration: A Django migration that defines and creates several models such as Span, Category, AnnotationRelations, and TextLabel, including their fields, constraints, and dependencies on existing models.",0.9052
\doccano-master\backend\api\migrations\0022_auto_20211221_1430.py,"Class Migration: A Django migration that modifies the Category and Span models by adding and altering fields, while updating their foreign key relationships.",\doccano-master\backend\labels\migrations\0003_auto_20220127_0654.py,"Class Migration: A Django migration class that updates the database schema by changing foreign key fields in the `category`, `relation`, and `span` models.",0.9433
\doccano-master\backend\api\migrations\0022_auto_20211221_1430.py,"Class Migration: A Django migration that modifies the Category and Span models by adding and altering fields, while updating their foreign key relationships.",\doccano-master\backend\labels\migrations\0004_auto_20220128_0246.py,"Class Migration: A Django migration that updates ForeignKey relationships in the ""category,"" ""span,"" and ""textlabel"" models to point to the ""example"" model within the ""examples"" app.",0.9037
